Workload;Exit;Single_record;Single_replay;Diff;Cumulative_record;Cumulative_replay
IDLE;RDTSC;241;241;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;241;241;0;1166;1165
IDLE;VMCALL;380;380;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;PENDING_VIRT_INTR;228;228;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;800;800;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;241;241;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;VMCALL;393;393;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;PENDING_VIRT_INTR;228;228;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;711;711;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;HLT;517;516;1;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;VMCALL;393;393;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;PENDING_VIRT_INTR;228;228;0;1166;1165
IDLE;HLT;517;516;1;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;246;246;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;VMCALL;380;380;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;PENDING_VIRT_INTR;228;228;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;241;241;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;800;800;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;241;241;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;VMCALL;393;393;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;PENDING_VIRT_INTR;228;228;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;241;241;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;EPT_VIOLATION;724;724;0;1166;1165
IDLE;RDTSC;333;333;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
IDLE;RDTSC;254;254;0;1166;1165
